activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,p11
A001,21,PLAT:BET:S16:EB,p11
A001,21,PLAT:BET:S17:EB,p11
A001,21,SEC:BET:S15_S16:EB,p11
A001,21,SEC:BET:S16_S17:EB,p11
A001,23,PLAT:BET:S15:EB,p11
A001,23,PLAT:BET:S16:EB,p11
A001,23,PLAT:BET:S17:EB,p11
A001,23,SEC:BET:S15_S16:EB,p11
A001,23,SEC:BET:S16_S17:EB,p11
A002,8,PLAT:BET:S11:WB,p11
A002,8,PLAT:BET:S12:WB,p11
A002,8,PLAT:BET:S13:WB,p11
A002,8,SEC:BET:S11_S12:WB,p11
A002,8,SEC:BET:S12_S13:WB,p11
A003,11,PLAT:BET:H01:EB,p11
A003,11,PLAT:BET:H02:EB,p11
A003,11,PLAT:BET:S15:EB,p11
A003,11,PLAT:BET:S16:EB,p11
A003,11,SEC:BET:H01_H02:EB,p11
A003,11,SEC:BET:H02_S15:EB,p11
A003,11,SEC:BET:S15_S16:EB,p11
A003,12,PLAT:BET:H01:EB,p11
A003,12,PLAT:BET:H02:EB,p11
A003,12,PLAT:BET:S15:EB,p11
A003,12,PLAT:BET:S16:EB,p11
A003,12,SEC:BET:H01_H02:EB,p11
A003,12,SEC:BET:H02_S15:EB,p11
A003,12,SEC:BET:S15_S16:EB,p11
A003,18,PLAT:BET:H01:EB,p11
A003,18,PLAT:BET:H02:EB,p11
A003,18,PLAT:BET:S15:EB,p11
A003,18,PLAT:BET:S16:EB,p11
A003,18,SEC:BET:H01_H02:EB,p11
A003,18,SEC:BET:H02_S15:EB,p11
A003,18,SEC:BET:S15_S16:EB,p11
A003,19,PLAT:BET:H01:EB,p10
A003,19,PLAT:BET:H02:EB,p10
A003,19,PLAT:BET:S15:EB,p10
A003,19,PLAT:BET:S16:EB,p10
A003,19,SEC:BET:H01_H02:EB,p10
A003,19,SEC:BET:H02_S15:EB,p10
A003,19,SEC:BET:S15_S16:EB,p10
A003,20,PLAT:BET:H01:EB,p11
A003,20,PLAT:BET:H02:EB,p11
A003,20,PLAT:BET:S15:EB,p11
A003,20,PLAT:BET:S16:EB,p11
A003,20,SEC:BET:H01_H02:EB,p11
A003,20,SEC:BET:H02_S15:EB,p11
A003,20,SEC:BET:S15_S16:EB,p11
A004,21,PLAT:ALP:H01:EB,p11
A004,21,PLAT:ALP:S03:EB,p11
A004,21,PLAT:ALP:S04:EB,p11
A004,21,SEC:ALP:S03_S04:EB,p11
A004,21,SEC:ALP:S04_H01:EB,p11
A004,22,PLAT:ALP:H01:EB,p11
A004,22,PLAT:ALP:S03:EB,p11
A004,22,PLAT:ALP:S04:EB,p11
A004,22,SEC:ALP:S03_S04:EB,p11
A004,22,SEC:ALP:S04_H01:EB,p11
A004,23,PLAT:ALP:H01:EB,p11
A004,23,PLAT:ALP:S03:EB,p11
A004,23,PLAT:ALP:S04:EB,p11
A004,23,SEC:ALP:S03_S04:EB,p11
A004,23,SEC:ALP:S04_H01:EB,p11
A006,2,PLAT:ALP:H01:WB,p11
A006,2,PLAT:ALP:H02:WB,p11
A006,2,PLAT:ALP:S03:WB,p11
A006,2,PLAT:ALP:S04:WB,p11
A006,2,SEC:ALP:H01_H02:WB,p11
A006,2,SEC:ALP:S03_S04:WB,p11
A006,2,SEC:ALP:S04_H01:WB,p11
A006,9,PLAT:ALP:H01:WB,p11
A006,9,PLAT:ALP:H02:WB,p11
A006,9,PLAT:ALP:S03:WB,p11
A006,9,PLAT:ALP:S04:WB,p11
A006,9,SEC:ALP:H01_H02:WB,p11
A006,9,SEC:ALP:S03_S04:WB,p11
A006,9,SEC:ALP:S04_H01:WB,p11
A007,15,PLAT:BET:H01:EB,p11
A007,15,PLAT:BET:H02:EB,p11
A007,15,SEC:BET:H01_H02:EB,p11
A007,16,PLAT:BET:H01:EB,p11
A007,16,PLAT:BET:H02:EB,p11
A007,16,SEC:BET:H01_H02:EB,p11
A007,17,PLAT:BET:H01:EB,p12
A007,17,PLAT:BET:H02:EB,p12
A007,17,SEC:BET:H01_H02:EB,p12
A007,18,PLAT:BET:H01:EB,p11
A007,18,PLAT:BET:H02:EB,p11
A007,18,SEC:BET:H01_H02:EB,p11
A007,19,PLAT:BET:H01:EB,p10
A007,19,PLAT:BET:H02:EB,p10
A007,19,SEC:BET:H01_H02:EB,p10
A007,20,PLAT:BET:H01:EB,p11
A007,20,PLAT:BET:H02:EB,p11
A007,20,SEC:BET:H01_H02:EB,p11
A007,22,PLAT:BET:H01:EB,p11
A007,22,PLAT:BET:H02:EB,p11
A007,22,SEC:BET:H01_H02:EB,p11
A008,16,PLAT:BET:S17:EB,p11
A008,16,PLAT:BET:S18:EB,p11
A008,16,SEC:BET:S17_S18:EB,p11
A008,17,PLAT:BET:S17:EB,p11
A008,17,PLAT:BET:S18:EB,p11
A008,17,SEC:BET:S17_S18:EB,p11
A008,19,PLAT:BET:S17:EB,p11
A008,19,PLAT:BET:S18:EB,p11
A008,19,SEC:BET:S17_S18:EB,p11
A008,21,PLAT:BET:S17:EB,p11
A008,21,PLAT:BET:S18:EB,p11
A008,21,SEC:BET:S17_S18:EB,p11
A008,23,PLAT:BET:S17:EB,p12
A008,23,PLAT:BET:S18:EB,p12
A008,23,SEC:BET:S17_S18:EB,p12
A009,3,PLAT:ALP:S05:EB,p12
A009,3,PLAT:ALP:S06:EB,p12
A009,3,SEC:ALP:S05_S06:EB,p12
A009,4,PLAT:ALP:S05:EB,p12
A009,4,PLAT:ALP:S06:EB,p12
A009,4,SEC:ALP:S05_S06:EB,p12
A009,5,PLAT:ALP:S05:EB,p12
A009,5,PLAT:ALP:S06:EB,p12
A009,5,SEC:ALP:S05_S06:EB,p12
A009,6,PLAT:ALP:S05:EB,p12
A009,6,PLAT:ALP:S06:EB,p12
A009,6,SEC:ALP:S05_S06:EB,p12
A009,7,PLAT:ALP:S05:EB,p12
A009,7,PLAT:ALP:S06:EB,p12
A009,7,SEC:ALP:S05_S06:EB,p12
A009,8,PLAT:ALP:S05:EB,p12
A009,8,PLAT:ALP:S06:EB,p12
A009,8,SEC:ALP:S05_S06:EB,p12
A009,11,PLAT:ALP:S05:EB,p11
A009,11,PLAT:ALP:S06:EB,p11
A009,11,SEC:ALP:S05_S06:EB,p11
A011,21,PLAT:BET:S15:EB,p11
A011,21,PLAT:BET:S16:EB,p11
A011,21,PLAT:BET:S17:EB,p11
A011,21,SEC:BET:S15_S16:EB,p11
A011,21,SEC:BET:S16_S17:EB,p11
A011,23,PLAT:BET:S15:EB,p11
A011,23,PLAT:BET:S16:EB,p11
A011,23,PLAT:BET:S17:EB,p11
A011,23,SEC:BET:S15_S16:EB,p11
A011,23,SEC:BET:S16_S17:EB,p11
A012,2,PLAT:BET:H01:WB,p11
A012,2,PLAT:BET:H02:WB,p11
A012,2,PLAT:BET:S15:WB,p11
A012,2,SEC:BET:H01_H02:WB,p11
A012,2,SEC:BET:H02_S15:WB,p11
A012,3,PLAT:BET:H01:WB,p11
A012,3,PLAT:BET:H02:WB,p11
A012,3,PLAT:BET:S15:WB,p11
A012,3,SEC:BET:H01_H02:WB,p11
A012,3,SEC:BET:H02_S15:WB,p11
A012,4,PLAT:BET:H01:WB,p11
A012,4,PLAT:BET:H02:WB,p11
A012,4,PLAT:BET:S15:WB,p11
A012,4,SEC:BET:H01_H02:WB,p11
A012,4,SEC:BET:H02_S15:WB,p11
A012,5,PLAT:BET:H01:WB,p11
A012,5,PLAT:BET:H02:WB,p11
A012,5,PLAT:BET:S15:WB,p11
A012,5,SEC:BET:H01_H02:WB,p11
A012,5,SEC:BET:H02_S15:WB,p11
A012,6,PLAT:BET:H01:WB,p11
A012,6,PLAT:BET:H02:WB,p11
A012,6,PLAT:BET:S15:WB,p11
A012,6,SEC:BET:H01_H02:WB,p11
A012,6,SEC:BET:H02_S15:WB,p11
A012,7,PLAT:BET:H01:WB,p11
