activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,p4
A001,21,PLAT:BET:S16:EB,p4
A001,21,PLAT:BET:S17:EB,p4
A001,21,SEC:BET:S15_S16:EB,p4
A001,21,SEC:BET:S16_S17:EB,p4
A001,23,PLAT:BET:S15:EB,p4
A001,23,PLAT:BET:S16:EB,p4
A001,23,PLAT:BET:S17:EB,p4
A001,23,SEC:BET:S15_S16:EB,p4
A001,23,SEC:BET:S16_S17:EB,p4
A002,8,PLAT:BET:S11:WB,p4
A002,8,PLAT:BET:S12:WB,p4
A002,8,PLAT:BET:S13:WB,p4
A002,8,SEC:BET:S11_S12:WB,p4
A002,8,SEC:BET:S12_S13:WB,p4
A003,13,PLAT:BET:H01:EB,p1
A003,13,PLAT:BET:H02:EB,p1
A003,13,PLAT:BET:S15:EB,p1
A003,13,PLAT:BET:S16:EB,p1
A003,13,SEC:BET:H01_H02:EB,p1
A003,13,SEC:BET:H02_S15:EB,p1
A003,13,SEC:BET:S15_S16:EB,p1
A003,14,PLAT:BET:H01:EB,p5
A003,14,PLAT:BET:H02:EB,p5
A003,14,PLAT:BET:S15:EB,p5
A003,14,PLAT:BET:S16:EB,p5
A003,14,SEC:BET:H01_H02:EB,p5
A003,14,SEC:BET:H02_S15:EB,p5
A003,14,SEC:BET:S15_S16:EB,p5
A003,16,PLAT:BET:H01:EB,p5
A003,16,PLAT:BET:H02:EB,p5
A003,16,PLAT:BET:S15:EB,p5
A003,16,PLAT:BET:S16:EB,p5
A003,16,SEC:BET:H01_H02:EB,p5
A003,16,SEC:BET:H02_S15:EB,p5
A003,16,SEC:BET:S15_S16:EB,p5
A003,17,PLAT:BET:H01:EB,p4
A003,17,PLAT:BET:H02:EB,p4
A003,17,PLAT:BET:S15:EB,p4
A003,17,PLAT:BET:S16:EB,p4
A003,17,SEC:BET:H01_H02:EB,p4
A003,17,SEC:BET:H02_S15:EB,p4
A003,17,SEC:BET:S15_S16:EB,p4
A003,19,PLAT:BET:H01:EB,p4
A003,19,PLAT:BET:H02:EB,p4
A003,19,PLAT:BET:S15:EB,p4
A003,19,PLAT:BET:S16:EB,p4
A003,19,SEC:BET:H01_H02:EB,p4
A003,19,SEC:BET:H02_S15:EB,p4
A003,19,SEC:BET:S15_S16:EB,p4
A004,20,PLAT:ALP:H01:EB,p4
A004,20,PLAT:ALP:S03:EB,p4
A004,20,PLAT:ALP:S04:EB,p4
A004,20,SEC:ALP:S03_S04:EB,p4
A004,20,SEC:ALP:S04_H01:EB,p4
A004,22,PLAT:ALP:H01:EB,p4
A004,22,PLAT:ALP:S03:EB,p4
A004,22,PLAT:ALP:S04:EB,p4
A004,22,SEC:ALP:S03_S04:EB,p4
A004,22,SEC:ALP:S04_H01:EB,p4
A004,23,PLAT:ALP:H01:EB,p4
A004,23,PLAT:ALP:S03:EB,p4
A004,23,PLAT:ALP:S04:EB,p4
A004,23,SEC:ALP:S03_S04:EB,p4
A004,23,SEC:ALP:S04_H01:EB,p4
A006,11,PLAT:ALP:H01:WB,p4
A006,11,PLAT:ALP:H02:WB,p4
A006,11,PLAT:ALP:S03:WB,p4
A006,11,PLAT:ALP:S04:WB,p4
A006,11,SEC:ALP:H01_H02:WB,p4
A006,11,SEC:ALP:S03_S04:WB,p4
A006,11,SEC:ALP:S04_H01:WB,p4
A006,12,PLAT:ALP:H01:WB,p4
A006,12,PLAT:ALP:H02:WB,p4
A006,12,PLAT:ALP:S03:WB,p4
A006,12,PLAT:ALP:S04:WB,p4
A006,12,SEC:ALP:H01_H02:WB,p4
A006,12,SEC:ALP:S03_S04:WB,p4
A006,12,SEC:ALP:S04_H01:WB,p4
A007,15,PLAT:BET:H01:EB,p4
A007,15,PLAT:BET:H02:EB,p4
A007,15,SEC:BET:H01_H02:EB,p4
A007,16,PLAT:BET:H01:EB,p5
A007,16,PLAT:BET:H02:EB,p5
A007,16,SEC:BET:H01_H02:EB,p5
A007,17,PLAT:BET:H01:EB,p4
A007,17,PLAT:BET:H02:EB,p4
A007,17,SEC:BET:H01_H02:EB,p4
A007,18,PLAT:BET:H01:EB,p4
A007,18,PLAT:BET:H02:EB,p4
A007,18,SEC:BET:H01_H02:EB,p4
A007,20,PLAT:BET:H01:EB,p4
A007,20,PLAT:BET:H02:EB,p4
A007,20,SEC:BET:H01_H02:EB,p4
A007,22,PLAT:BET:H01:EB,p4
A007,22,PLAT:BET:H02:EB,p4
A007,22,SEC:BET:H01_H02:EB,p4
A007,23,PLAT:BET:H01:EB,p5
A007,23,PLAT:BET:H02:EB,p5
A007,23,SEC:BET:H01_H02:EB,p5
A008,16,PLAT:BET:S17:EB,p4
A008,16,PLAT:BET:S18:EB,p4
A008,16,SEC:BET:S17_S18:EB,p4
A008,23,PLAT:BET:S17:EB,p4
A008,23,PLAT:BET:S18:EB,p4
A008,23,SEC:BET:S17_S18:EB,p4
A008,24,PLAT:BET:S17:EB,p4
A008,24,PLAT:BET:S18:EB,p4
A008,24,SEC:BET:S17_S18:EB,p4
A008,25,PLAT:BET:S17:EB,p4
A008,25,PLAT:BET:S18:EB,p4
A008,25,SEC:BET:S17_S18:EB,p4
A008,26,PLAT:BET:S17:EB,p5
A008,26,PLAT:BET:S18:EB,p5
A008,26,SEC:BET:S17_S18:EB,p5
A009,2,PLAT:ALP:S05:EB,p4
A009,2,PLAT:ALP:S06:EB,p4
A009,2,SEC:ALP:S05_S06:EB,p4
A009,3,PLAT:ALP:S05:EB,p4
A009,3,PLAT:ALP:S06:EB,p4
A009,3,SEC:ALP:S05_S06:EB,p4
A009,4,PLAT:ALP:S05:EB,p4
A009,4,PLAT:ALP:S06:EB,p4
A009,4,SEC:ALP:S05_S06:EB,p4
A009,5,PLAT:ALP:S05:EB,p4
A009,5,PLAT:ALP:S06:EB,p4
A009,5,SEC:ALP:S05_S06:EB,p4
A009,6,PLAT:ALP:S05:EB,p4
A009,6,PLAT:ALP:S06:EB,p4
A009,6,SEC:ALP:S05_S06:EB,p4
A009,7,PLAT:ALP:S05:EB,p4
A009,7,PLAT:ALP:S06:EB,p4
A009,7,SEC:ALP:S05_S06:EB,p4
A009,12,PLAT:ALP:S05:EB,p4
A009,12,PLAT:ALP:S06:EB,p4
A009,12,SEC:ALP:S05_S06:EB,p4
A011,24,PLAT:BET:S15:EB,p4
A011,24,PLAT:BET:S16:EB,p4
A011,24,PLAT:BET:S17:EB,p4
A011,24,SEC:BET:S15_S16:EB,p4
A011,24,SEC:BET:S16_S17:EB,p4
A011,25,PLAT:BET:S15:EB,p4
A011,25,PLAT:BET:S16:EB,p4
A011,25,PLAT:BET:S17:EB,p4
A011,25,SEC:BET:S15_S16:EB,p4
A011,25,SEC:BET:S16_S17:EB,p4
A012,2,PLAT:BET:H01:WB,p4
A012,2,PLAT:BET:H02:WB,p4
A012,2,PLAT:BET:S15:WB,p4
A012,2,SEC:BET:H01_H02:WB,p4
A012,2,SEC:BET:H02_S15:WB,p4
A012,3,PLAT:BET:H01:WB,p4
A012,3,PLAT:BET:H02:WB,p4
A012,3,PLAT:BET:S15:WB,p4
A012,3,SEC:BET:H01_H02:WB,p4
A012,3,SEC:BET:H02_S15:WB,p4
A012,4,PLAT:BET:H01:WB,p4
A012,4,PLAT:BET:H02:WB,p4
A012,4,PLAT:BET:S15:WB,p4
A012,4,SEC:BET:H01_H02:WB,p4
A012,4,SEC:BET:H02_S15:WB,p4
A012,16,PLAT:BET:H01:WB,p4
A012,16,PLAT:BET:H02:WB,p4
A012,16,PLAT:BET:S15:WB,p4
A012,16,SEC:BET:H01_H02:WB,p4
A012,16,SEC:BET:H02_S15:WB,p4
A012,17,PLAT:BET:H01:WB,p4
A012,17,PLAT:BET:H02:WB,p4
A012,17,PLAT:BET:S15:WB,p4
A012,17,SEC:BET:H01_H02:WB,p4
A012,17,SEC:BET:H02_S15:WB,p4
A012,18,PLAT:BET:H01:WB,p4
A012,18,PLAT:BET:H02:WB,p4
A012,18,PLAT:BET:S15:WB,p4
A012,18,SEC:BET:H01_H02:WB,p4
A012,18,SEC:BET:H02_S15:WB,p4
A012,20,PLAT:BET:H01:WB,p4
A012,20,PLAT:BET:H02:WB,p4
A012,20,PLAT:BET:S15:WB,p4
A012,20,SEC:BET:H01_H02:WB,p4
A012,20,SEC:BET:H02_S15:WB,p4
A013,21,PLAT:ALP:S05:WB,p4
A013,21,PLAT:ALP:S06:WB,p4
A013,21,SEC:ALP:S05_S06:WB,p4
A013,22,PLAT:ALP:S05:WB,p4
A013,22,PLAT:ALP:S06:WB,p4
A013,22,SEC:ALP:S05_S06:WB,p4
A013,23,PLAT:ALP:S05:WB,p4
A013,23,PLAT:ALP:S06:WB,p4
A013,23,SEC:ALP:S05_S06:WB,p4
A013,24,PLAT:ALP:S05:WB,p4
A013,24,PLAT:ALP:S06:WB,p4
A013,24,SEC:ALP:S05_S06:WB,p4
A013,26,PLAT:ALP:S05:WB,p4
A013,26,PLAT:ALP:S06:WB,p4
A013,26,SEC:ALP:S05_S06:WB,p4
A014,15,PLAT:ALP:S07:EB,p4
A014,15,PLAT:ALP:S08:EB,p4
A014,15,SEC:ALP:S07_S08:EB,p4
A014,16,PLAT:ALP:S07:EB,p4
A014,16,PLAT:ALP:S08:EB,p4
A014,16,SEC:ALP:S07_S08:EB,p4
